"Year","Country","Rate","Change"
"1971","Australia","0.8803","  "
"1972","Australia","0.8387","-4.725661706236507"
"1973","Australia","0.7047","-15.977107428162634"
"1974","Australia","0.695","-1.3764722576983173"
"1975","Australia","0.7647","10.02877697841728"
"1976","Australia","0.8187","7.061592781482926"
"1977","Australia","0.9024","10.223525100769512"
"1978","Australia","0.874","-3.1471631205673734"
"1979","Australia","0.8947","2.368421052631585"
"1980","Australia","0.8776","-1.9112551693305022"
"1981","Australia","0.8699","-0.877392889699184"
"1982","Australia","0.9838","13.093459018277965"
"1983","Australia","1.1094","12.766822524903429"
"1984","Australia","1.137","2.487831260140623"
"1985","Australia","1.428","25.59366754617414"
"1986","Australia","1.4905","4.3767507002801125"
"1987","Australia","1.4257","-4.347534384434751"
"1988","Australia","1.2753","-10.549203899838666"
"1989","Australia","1.2628","-0.9801615306202601"
"1990","Australia","1.2809","1.4333227747861899"
"1991","Australia","1.2842","0.2576313529549598"
"1992","Australia","1.3602","5.918081295748331"
"1993","Australia","1.4708","8.131157182767241"
"1994","Australia","1.3669","-7.0641827576829"
"1995","Australia","1.3501","-1.229058453434774"
"1996","Australia","1.2775","-5.377379453373823"
"1997","Australia","1.3446","5.252446183953028"
"1998","Australia","1.5896","18.22103227725717"
"1999","Australia","1.5494","-2.528938097634612"
"2000","Australia","1.7197","10.991351490899696"
"2001","Australia","1.9346","12.496365645170675"
"2002","Australia","1.8392","-4.931251938385203"
"2003","Australia","1.5328","-16.659417137886038"
"2004","Australia","1.3578","-11.417014613778708"
"2005","Australia","1.3111","-3.4393872440712894"
"2006","Australia","1.3271","1.2203493249942807"
"2007","Australia","1.1918","-10.195162384145881"
"2008","Australia","1.1714","-1.71169659338815"
"2009","Australia","1.2615","7.691651015878442"
"2010","Australia","1.087","-13.832738803012292"
"2011","Australia","0.9679","-10.956761729530818"
"2012","Australia","0.9653","-0.26862279161069696"
"2013","Australia","1.0327","6.982285299906755"
"2014","Australia","1.1069","7.1850489009392895"
"2015","Australia","1.3294","20.101183485409695"
"2016","Australia","1.3432","1.038062283737027"
"1995","Brazil","0.9161","  "
"1996","Brazil","1.0051","9.715096605174116"
"1997","Brazil","1.0779","7.2430603920007925"
"1998","Brazil","1.1605","7.663048520270897"
"1999","Brazil","1.8207","56.889271865575175"
"2000","Brazil","1.8301","0.5162849453506934"
"2001","Brazil","2.3527","28.555816622042506"
"2002","Brazil","2.9213","24.16797721766481"
"2003","Brazil","3.075","5.261356245507143"
"2004","Brazil","2.9262","-4.839024390243903"
"2005","Brazil","2.4352","-16.77944091312966"
"2006","Brazil","2.1738","-10.734231274638637"
"2007","Brazil","1.9461","-10.47474468672371"
"2008","Brazil","1.8326","-5.832177174862543"
"2009","Brazil","1.9976","9.003601440576233"
"2010","Brazil","1.76","-11.894273127753305"
"2011","Brazil","1.6723","-4.982954545454551"
"2012","Brazil","1.9535","16.8151647431681"
"2013","Brazil","2.157","10.417199897619659"
"2014","Brazil","2.3512","9.003245248029668"
"2015","Brazil","3.336","41.8849948962232"
"2016","Brazil","3.4839","4.433453237410083"
"1971","Canada","1.0099","  "
"1972","Canada","0.9907","-1.9011783344885629"
"1973","Canada","1.0002","0.9589179368123502"
"1974","Canada","0.978","-2.219556088782243"
"1975","Canada","1.0175","4.038854805725981"
"1976","Canada","0.9863","-3.0663390663390775"
"1977","Canada","1.0633","7.806955287437896"
"1978","Canada","1.1405","7.260415687012148"
"1979","Canada","1.1713","2.700569925471279"
"1980","Canada","1.1693","-0.17075044821992674"
"1981","Canada","1.199","2.5399811853245584"
"1982","Canada","1.2344","2.9524603836530336"
"1983","Canada","1.2325","-0.15392093324692263"
"1984","Canada","1.2952","5.087221095334684"
"1985","Canada","1.3659","5.458616429894996"
"1986","Canada","1.3896","1.7351197012958528"
"1987","Canada","1.3259","-4.5840529648819714"
"1988","Canada","1.2306","-7.187570706689807"
"1989","Canada","1.1842","-3.770518446286365"
"1990","Canada","1.1668","-1.4693463941901588"
"1991","Canada","1.146","-1.7826534110387513"
"1992","Canada","1.2085","5.453752181500874"
"1993","Canada","1.2902","6.760446834919332"
"1994","Canada","1.3664","5.906061075802205"
"1995","Canada","1.3725","0.44642857142857095"
"1996","Canada","1.3638","-0.6338797814207761"
"1997","Canada","1.3849","1.5471476756122686"
"1998","Canada","1.4836","7.126868365947001"
"1999","Canada","1.4858","0.14828794823402397"
"2000","Canada","1.4855","-0.020191142818681312"
"2001","Canada","1.5487","4.25445977785257"
"2002","Canada","1.5704","1.4011751791825435"
"2003","Canada","1.4008","-10.799796230259805"
"2004","Canada","1.3017","-7.0745288406624764"
"2005","Canada","1.2115","-6.929400015364527"
"2006","Canada","1.134","-6.397028477094521"
"2007","Canada","1.0734","-5.343915343915343"
"2008","Canada","1.066","-0.6893981740264441"
"2009","Canada","1.1412","7.054409005628511"
"2010","Canada","1.0298","-9.761654398878369"
"2011","Canada","0.9887","-3.991066226451741"
"2012","Canada","0.9995","1.0923434813391353"
"2013","Canada","1.03","3.0515257628814374"
"2014","Canada","1.1043","7.213592233009712"
"2015","Canada","1.2791","15.829031965951264"
"2016","Canada","1.3243","3.5337346571808403"
"1981","China","1.71","  "
"1982","China","1.8979","10.98830409356725"
"1983","China","1.981","4.3785236313820635"
"1984","China","2.3303","17.632508833922248"
"1985","China","2.9434","26.309917178045755"
"1986","China","3.4616","17.605490249371467"
"1987","China","3.7314","7.7940836607349215"
"1988","China","3.7314","0.0"
"1989","China","3.7673","0.9621053759982919"
"1990","China","4.7921","27.202505773365527"
"1991","China","5.3337","11.301934433755573"
"1992","China","5.5206","3.5041340907812515"
"1993","China","5.7795","4.689707640473856"
"1994","China","8.6397","49.488710096029074"
"1995","China","8.37","-3.121636167922501"
"1996","China","8.3389","-0.37156511350058036"
"1997","China","8.3193","-0.23504299128182976"
"1998","China","8.3008","-0.22237447862199367"
"1999","China","8.2783","-0.2710582112567566"
"2000","China","8.2784","0.001207977483296896"
"2001","China","8.277","-0.016911480479323178"
"2002","China","8.2771","0.001208167210360557"
"2003","China","8.2772","0.0012081526138353641"
"2004","China","8.2768","-0.0048325520707587595"
"2005","China","8.1936","-1.005219408467037"
"2006","China","7.9723","-2.7008884983401713"
"2007","China","7.6058","-4.5971676931374805"
"2008","China","6.9477","-8.652607220805177"
"2009","China","6.8307","-1.6840105358607884"
"2010","China","6.7696","-0.8944910477696371"
"2011","China","6.463","-4.529071141574089"
"2012","China","6.3093","-2.3781525607303067"
"2013","China","6.1478","-2.559713438891798"
"2014","China","6.162","0.23097693483847503"
"2015","China","6.2827","1.9587796170074692"
"2016","China","6.64","5.687045378579265"
"1971","Denmark","7.4048","  "
"1972","Denmark","6.9531","-6.100097234226444"
"1973","Denmark","6.0447","-13.06467618759978"
"1974","Denmark","6.0925","0.7907753900110925"
"1975","Denmark","5.7481","-5.652851867049655"
"1976","Denmark","6.0461","5.184321775891164"
"1977","Denmark","6.005","-0.6797770463604661"
"1978","Denmark","5.5162","-8.139883430474596"
"1979","Denmark","5.2623","-4.602806279685303"
"1980","Denmark","5.6346","7.074853201071776"
