"Year","Country","Rate","Metavoli"
"1971","Australia","0.8803","  "
"1972","Australia","0.8387","-0.04159999999999997"
"1973","Australia","0.7047","-0.134"
"1974","Australia","0.695","-0.009700000000000042"
"1975","Australia","0.7647","0.0697000000000001"
"1976","Australia","0.8187","0.05399999999999994"
"1977","Australia","0.9024","0.0837"
"1978","Australia","0.874","-0.02839999999999998"
"1979","Australia","0.8947","0.02070000000000005"
"1980","Australia","0.8776","-0.017100000000000004"
"1981","Australia","0.8699","-0.00770000000000004"
"1982","Australia","0.9838","0.1139"
"1983","Australia","1.1094","0.12559999999999993"
"1984","Australia","1.137","0.02760000000000007"
"1985","Australia","1.428","0.2909999999999999"
"1986","Australia","1.4905","0.0625"
"1987","Australia","1.4257","-0.06479999999999997"
"1988","Australia","1.2753","-0.15039999999999987"
"1989","Australia","1.2628","-0.012500000000000178"
"1990","Australia","1.2809","0.018100000000000005"
"1991","Australia","1.2842","0.0033000000000000806"
"1992","Australia","1.3602","0.07600000000000007"
"1993","Australia","1.4708","0.11060000000000003"
"1994","Australia","1.3669","-0.1039000000000001"
"1995","Australia","1.3501","-0.016799999999999926"
"1996","Australia","1.2775","-0.0726"
"1997","Australia","1.3446","0.06709999999999994"
"1998","Australia","1.5896","0.24499999999999988"
"1999","Australia","1.5494","-0.04019999999999979"
"2000","Australia","1.7197","0.1702999999999999"
"2001","Australia","1.9346","0.2149000000000001"
"2002","Australia","1.8392","-0.09540000000000015"
"2003","Australia","1.5328","-0.3064"
"2004","Australia","1.3578","-0.17500000000000004"
"2005","Australia","1.3111","-0.046699999999999964"
"2006","Australia","1.3271","0.016000000000000014"
"2007","Australia","1.1918","-0.13529999999999998"
"2008","Australia","1.1714","-0.020399999999999974"
"2009","Australia","1.2615","0.09010000000000007"
"2010","Australia","1.087","-0.1745000000000001"
"2011","Australia","0.9679","-0.11909999999999998"
"2012","Australia","0.9653","-0.0025999999999999357"
"2013","Australia","1.0327","0.0673999999999999"
"2014","Australia","1.1069","0.07420000000000004"
"2015","Australia","1.3294","0.22249999999999992"
"2016","Australia","1.3432","0.013800000000000034"
"1995","Brazil","0.9161","  "
"1996","Brazil","1.0051","0.08900000000000008"
"1997","Brazil","1.0779","0.07279999999999998"
"1998","Brazil","1.1605","0.0826"
"1999","Brazil","1.8207","0.6601999999999999"
"2000","Brazil","1.8301","0.009400000000000075"
"2001","Brazil","2.3527","0.5226"
"2002","Brazil","2.9213","0.5686"
"2003","Brazil","3.075","0.15370000000000017"
"2004","Brazil","2.9262","-0.14880000000000004"
"2005","Brazil","2.4352","-0.4910000000000001"
"2006","Brazil","2.1738","-0.2614000000000001"
"2007","Brazil","1.9461","-0.2277"
"2008","Brazil","1.8326","-0.11349999999999993"
"2009","Brazil","1.9976","0.16500000000000004"
"2010","Brazil","1.76","-0.23760000000000003"
"2011","Brazil","1.6723","-0.08770000000000011"
"2012","Brazil","1.9535","0.2812000000000001"
"2013","Brazil","2.157","0.20350000000000001"
"2014","Brazil","2.3512","0.19419999999999993"
"2015","Brazil","3.336","0.9847999999999999"
"2016","Brazil","3.4839","0.14790000000000036"
"1971","Canada","1.0099","  "
"1972","Canada","0.9907","-0.019199999999999995"
"1973","Canada","1.0002","0.009499999999999953"
"1974","Canada","0.978","-0.022199999999999998"
"1975","Canada","1.0175","0.03950000000000009"
"1976","Canada","0.9863","-0.031200000000000117"
"1977","Canada","1.0633","0.07699999999999996"
"1978","Canada","1.1405","0.07720000000000016"
"1979","Canada","1.1713","0.03079999999999994"
"1980","Canada","1.1693","-0.0020000000000000018"
"1981","Canada","1.199","0.02970000000000006"
"1982","Canada","1.2344","0.035399999999999876"
"1983","Canada","1.2325","-0.0019000000000000128"
"1984","Canada","1.2952","0.06269999999999998"
"1985","Canada","1.3659","0.07069999999999999"
"1986","Canada","1.3896","0.023700000000000054"
"1987","Canada","1.3259","-0.06369999999999987"
"1988","Canada","1.2306","-0.09530000000000016"
"1989","Canada","1.1842","-0.0464"
